Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
10 000 m,M,1993,1,Káldy Zoltán Újpesti TE,Káldy Zoltán,Újpesti TE,1746.24
10 000 m,M,1993,2,Berkovics Imre VEDAC,Berkovics Imre,VEDAC,1748.38
10 000 m,M,1993,3,Jáger Péter BVSC,Jáger Péter,BVSC,1758.46
10 000 m,M,1994,1,Kliszek Tamás Újpesti TE,Kliszek Tamás,Újpesti TE,1765.34
10 000 m,M,1994,2,Berkovics Imre BVSC,Berkovics Imre,BVSC,1770.87
10 000 m,M,1994,3,Kovács József BVSC,Kovács József,BVSC,1773.23
10 000 m,M,1995,1,Káldy Zoltán Újpesti TE,Káldy Zoltán,Újpesti TE,1749.99
10 000 m,M,1995,2,Berkovics Imre BVSC,Berkovics Imre,BVSC,1768.36
10 000 m,M,1995,3,Kliszek Tamás Újpesti TE,Kliszek Tamás,Újpesti TE,1788.8
10 000 m,M,1996,1,Káldy Zoltán Újpesti TE,Káldy Zoltán,Újpesti TE,1745.3
10 000 m,M,1996,2,Kliszek Tamás Újpesti TE,Kliszek Tamás,Újpesti TE,1757.9
10 000 m,M,1996,3,Kadlót Zoltán Salgótarjáni Öblösüveggyár,Kadlót Zoltán,Salgótarjáni Öblösüveggyár,1760.4
10 000 m,M,1997,1,Káldy Zoltán BVSC,Káldy Zoltán,BVSC,1753.79
10 000 m,M,1997,2,Jáger Péter BVSC,Jáger Péter,BVSC,1794.69
10 000 m,M,1997,3,Bacskay Zsolt BVSC,Bacskay Zsolt,BVSC,1800.18
10 000 m,M,1998,1,Kliszek Tamás Újpesti TE,Kliszek Tamás,Újpesti TE,1759.31
10 000 m,M,1998,2,Káldy Zoltán BVSC,Káldy Zoltán,BVSC,1766.98
10 000 m,M,1998,3,Sági Ferenc BVSC,Sági Ferenc,BVSC,1780.38
10 000 m,M,1999,1,Berkovics Imre BVSC,Berkovics Imre,BVSC,1750.05
10 000 m,M,1999,2,Sági Ferenc BVSC,Sági Ferenc,BVSC,1761.99
10 000 m,M,1999,3,Szemán János VEDAC,Szemán János,VEDAC,1764.59
10 000 m,M,2000,1,Sági Ferenc BVSC,Sági Ferenc,BVSC,1776.26
10 000 m,M,2000,2,Stépán Zsolt BVSC,Stépán Zsolt,BVSC,1784.0
10 000 m,M,2000,3,Bacskai Zsolt BVSC,Bacskai Zsolt,BVSC,1785.7
10 000 m,M,2001,1,Zatykó Miklós Vasas,Zatykó Miklós,Vasas,1767.76
10 000 m,M,2001,2,Molnár Tibor BVSC,Molnár Tibor,BVSC,1806.69
10 000 m,M,2001,3,Stépán Zsolt BVSC,Stépán Zsolt,BVSC,1833.66
10 000 m,M,2002,1,Németh Máté AC Szekszárd,Németh Máté,AC Szekszárd,1782.27
10 000 m,M,2002,2,Benedek Zsolt Debreceni AK,Benedek Zsolt,Debreceni AK,1798.24
10 000 m,M,2002,3,Zatykó Miklós Vasas,Zatykó Miklós,Vasas,1802.86
10 000 m,M,2003,1,Bodor Olivér Pécsi VSK,Bodor Olivér,Pécsi VSK,1793.72
10 000 m,M,2003,2,Zatykó Miklós Vasas,Zatykó Miklós,Vasas,1802.58
10 000 m,M,2003,3,Ott Balázs Bp. Honvéd,Ott Balázs,Bp. Honvéd,1808.42
10 000 m,M,2004,1,Bene Barnabás Pécsi VSK,Bene Barnabás,Pécsi VSK,1792.81
10 000 m,M,2004,2,Tóth László Pécsi VSK,Tóth László,Pécsi VSK,1794.91
10 000 m,M,2004,3,Juhász András Hunyadi DSE,Juhász András,Hunyadi DSE,1795.35
10 000 m,M,2005,1,Bene Barnabás Pécsi VSK,Bene Barnabás,Pécsi VSK,1777.7
10 000 m,M,2005,2,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,1787.84
10 000 m,M,2005,3,Juhász András Hunyadi DSE,Juhász András,Hunyadi DSE,1796.55
10 000 m,M,2006,1,Bene Barnabás PFK,Bene Barnabás,PFK,1758.47
10 000 m,M,2006,2,Ott Balázs PFK,Ott Balázs,PFK,1764.84
10 000 m,M,2006,3,Minczér Albert VEDAC,Minczér Albert,VEDAC,1765.4
10 000 m,M,2007,1,Minczér Albert VEDAC,Minczér Albert,VEDAC,1799.58
10 000 m,M,2007,2,Tóth László Pécsi FK,Tóth László,Pécsi FK,1818.12
10 000 m,M,2007,3,Ott Balázs Pécsi FK,Ott Balázs,Pécsi FK,1827.77
10 000 m,M,2008,1,Minczér Albert VEDAC,Minczér Albert,VEDAC,1773.12
10 000 m,M,2008,2,Szemeti Péter Újpesti TE,Szemeti Péter,Újpesti TE,1806.23
10 000 m,M,2008,3,Sántavy Zoltán Pécsi FK,Sántavy Zoltán,Pécsi FK,1844.58
10 000 m,M,2009,1,Minczér Albert VEDAC,Minczér Albert,VEDAC,1800.8
10 000 m,M,2009,2,Tóth Tamás MICRO SC,Tóth Tamás,MICRO SC,1839.65
10 000 m,M,2009,3,Kovács Ádám MISI SC,Kovács Ádám,MISI SC,1842.18
10 000 m,M,2010,1,Minczér Albert VEDAC,Minczér Albert,VEDAC,1793.54
10 000 m,M,2010,2,Kovács Ádám MISI SC,Kovács Ádám,MISI SC,1849.51
10 000 m,M,2010,3,Farkas Dárius Alba Regia AK,Farkas Dárius,Alba Regia AK,1866.06
10 000 m,M,2011,1,Bene Barnabás Pécsi VSK,Bene Barnabás,Pécsi VSK,1749.02
10 000 m,M,2011,2,Minczér Albert VEDAC,Minczér Albert,VEDAC,1749.74
10 000 m,M,2011,3,Tóth Tamás Micro SC,Tóth Tamás,Micro SC,1837.33
10 000 m,M,2012,1,Tóth László Békéscsabai AC,Tóth László,Békéscsabai AC,1851.17
10 000 m,M,2012,2,Kovács Ádám MVSI,Kovács Ádám,MVSI,1854.49
10 000 m,M,2012,3,Józsa Gábor MAC-NS,Józsa Gábor,MAC-NS,1870.42
10 000 m,M,2013,1,Józsa Gábor MAC-Népstadion,Józsa Gábor,MAC-Népstadion,1817.61
10 000 m,M,2013,2,Szabó Sándor Tatabányai SC,Szabó Sándor,Tatabányai SC,1818.36
10 000 m,M,2013,3,Kovács Ádám MVSI,Kovács Ádám,MVSI,1820.34
10 000 m,M,2014,1,Gregor László Békéscsabai AC,Gregor László,Békéscsabai AC,1799.74
10 000 m,M,2014,2,Józsa Gábor MAC,Józsa Gábor,MAC,1803.68
10 000 m,M,2014,3,Szögi István VEDAC,Szögi István,VEDAC,1804.34
10 000 m,M,2015,1,Gregor László Békéscsabai AC,Gregor László,Békéscsabai AC,1791.52
10 000 m,M,2015,2,Matkó Csaba Újpesti TE,Matkó Csaba,Újpesti TE,1805.14
10 000 m,M,2015,3,Farkas Dárius BEAC,Farkas Dárius,BEAC,1820.73
10 000 m,M,2016,1,Kovács Benjámin Újpesti TE,Kovács Benjámin,Újpesti TE,1787.36
10 000 m,M,2016,2,Gregor László Békéscsabai AC,Gregor László,Békéscsabai AC,1839.09
10 000 m,M,2016,3,Józsa Gábor MAC,Józsa Gábor,MAC,1846.51
10 000 m,M,2017,1,Kovács Benjámin Bp. Honvéd,Kovács Benjámin,Bp. Honvéd,1767.14
10 000 m,M,2017,2,Juhász Balázs Debreceni SC-SI,Juhász Balázs,Debreceni SC-SI,1775.74
10 000 m,M,2017,3,Bicsák Bence Psn Zrt,Bicsák Bence,Psn Zrt,1779.22
10 000 m,M,2018,1,Kovács Benjámin Bp. Honvéd,Kovács Benjámin,Bp. Honvéd,1795.56
10 000 m,M,2018,2,Juhász Balázs Debreceni SC-SI,Juhász Balázs,Debreceni SC-SI,1797.97
10 000 m,M,2018,3,Galamb Csaba Kecskeméti ARC,Galamb Csaba,Kecskeméti ARC,1824.42
10 000 m,M,2019,1,Kovács Benjámin Bp. Honvéd,Kovács Benjámin,Bp. Honvéd,1805.02
10 000 m,M,2019,2,Gregor László Békéscsabai AC,Gregor László,Békéscsabai AC,1808.37
10 000 m,M,2019,3,Kovács Marcell Bp. Honvéd,Kovács Marcell,Bp. Honvéd,1813.96
10 000 m,M,2020,1,Szemerei Levente Szekszárdi Sportközpont,Szemerei Levente,Szekszárdi Sportközpont,1812.4
10 000 m,M,2020,2,Csere Gáspár BEAC,Csere Gáspár,BEAC,1813.94
10 000 m,M,2020,3,Palkovits István Kecskeméti ARC,Palkovits István,Kecskeméti ARC,1816.32
10 000 m,M,2021,1,Szemerei Levente Szekszárdi Sportközpont,Szemerei Levente,Szekszárdi Sportközpont,1764.26
10 000 m,M,2021,2,Vörös Márk Újpesti TE,Vörös Márk,Újpesti TE,1794.55
10 000 m,M,2021,3,Farkas Dárius BEAC,Farkas Dárius,BEAC,1797.96
10 000 m,M,2022,1,Szemerei Levente Szekszárdi Sportközpont,Szemerei Levente,Szekszárdi Sportközpont,1784.81
10 000 m,M,2022,2,Lomb Ádám Pécsi VSK,Lomb Ádám,Pécsi VSK,1801.22
10 000 m,M,2022,3,Jenkei Péter Vasas,Jenkei Péter,Vasas,1810.33
10 000 m,M,2023,1,Karsai Gábor Békéscsabai AC,Karsai Gábor,Békéscsabai AC,1768.01
10 000 m,M,2023,3,Szemerei Levente Szekszárdi Sportközpont,Szemerei Levente,Szekszárdi Sportközpont,1792.52
10 000 m,M,2024,1,Lomb Ádám Pécsi VSK,Lomb Ádám,Pécsi VSK,1789.64
10 000 m,M,2024,2,Csere Gáspár TFSE,Csere Gáspár,TFSE,1790.42
10 000 m,M,2024,3,Sós Barnabás Margitszigeti AC,Sós Barnabás,Margitszigeti AC,1818.55
10 000 m,M,2025,1,Palkovits István Sportolj Velünk SE,Palkovits István,Sportolj Velünk SE,1755.73
10 000 m,M,2025,2,Lomb Ádám Pécsi VSK,Lomb Ádám,Pécsi VSK,1756.13
10 000 m,M,2025,3,Szemerei Levente Szekszárdi Sportközpont,Szemerei Levente,Szekszárdi Sportközpont,1767.94
10 000 m,W,1983,1,Jankó Ilona Ajkai Alumínium,Jankó Ilona,Ajkai Alumínium,2044.8
10 000 m,W,1983,2,Komjáthy Ágnes Csepel SC,Komjáthy Ágnes,Csepel SC,2045.8
10 000 m,W,1983,3,Jakab Erzsébet Győri Dózsa,Jakab Erzsébet,Győri Dózsa,2057.0
10 000 m,W,1984,1,Szabó Karolina Csepel SC,Szabó Karolina,Csepel SC,1958.5
10 000 m,W,1984,2,Jankó Ilona Ajkai Alumínium,Jankó Ilona,Ajkai Alumínium,2036.3
10 000 m,W,1984,3,Fazekas Erika Diósgyőri VTK,Fazekas Erika,Diósgyőri VTK,2037.0
